title,company,location,link
[긴급] 계약직 간호사(호흡기센터) 직원 채용 공고,국립중앙의료원,서울 을지로동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=4fa1d3d6a812faf2
요양원 간호사,성암노인복지센터,강원도 속초,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=2eb4b0cd86bdea25
[메디플렉스 ] 건강증진팀 간호사 (정규직),세종병원,부천 소사구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=44e13943f1146988
청년인턴 공개시험,전남대학교병원,광주광역시,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=9922f5c32002a37d
간호부 외과전담 정규직(경력) 간호사,인제대학교 백병원,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=80282b2c9ba9cddb
직원,오라클피부과의원,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=e284f224441f18d4
충북혈액원 초단시간 간호사,대한적십자사,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=934d1364ac84c4ba
간호직 채용 재공고(간호부 경력간호사),국립중앙의료원,서울 을지로동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=ef883c0758bee05c
간호부 간호사 (2021년 신규 및 경력직),대아 한도병원,안산 단원구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=19d728269342e698
송탄보건소 기간제 근로자(간호사),평택시송탄보건소,경기도 평택,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=92b4c0e7803740fd
2020년 하반기 신입/경력인재,이메디정보기술,서울 영등포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=b49794d24cdd12c4
정신건강의학과 병동 근무하실 간호사(D/E 2교대),새하늘병원,경기도 의정부,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=13b7c023e7b883d6
계약직 간호사(감염병연구개발팀) 직원 채용 재공고,국립중앙의료원,서울 을지로동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=f981a4073eb6783d
[]세종의학연구소 연구간호사 (계약직),세종병원,부천 소사구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=28eefa0071665a01
계약직 임상병리사(단시간) 및 간호사(휴직대체) 채용 공고,국립중앙의료원,서울 을지로동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=59dde634e4808f34
서울특별시 지방전임계약직공무원,서울특별시,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=44d1cc17e0890f30
신경외과 계약직 SA간호사,삼성병원,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=20202375db9acf8c
주간보호센터 간호사(간호조무사) 모집의 기업정보,산곡기쁨주야간어르신복지센터,인천 산곡동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=1d919ff65f5452ca
간호조무사 간호사 신생아실 근무자 모집,(주)더홈산후조리원,경기도 부천,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=33d9190cefd3f7a2
강남한보리 전문요양원 간호사,강남한보리전문요양원,서울 관악구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=eef0c5e760401cdb
[구로병원]간호부 시간제일반업무원,고려대학교의료원,서울 구로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=d114350b406335a1
단시간근로자(간호사),양천구보건소,서울 신정동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=ad39876f778b3df9
간호사선생님,늘푸른소망요양원,서울 양천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=7b15af8643f50b17
"주40시간근무, 좋은조건 .",메디큐내과의원,서울 송파구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=8c45b71d425908a6
지방소방공무원,서울특별시,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=a91322d220b7ded2
안전환경 분야,LG이노텍,경기도 평택,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=bfc5314624836059
"무기계약직 간호사(순환기내과, 심혈관센터) 채용 재공고",국립중앙의료원,서울 을지로동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=e66b2ab20e7188e4
계약직원 상시 공개채용 공고,계명대학교 동산의료원,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=40a63ae137330faa
경남혈액원 제4차 초단시간 간호사,대한적십자사,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=c66c780e214681b1
요양원 간호사,화성카네이션너싱홈,경기도 화성,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=0913a165772dcee7
인방동물의료센터 간호테크니션 (급여조정),인방동물의료센터,안양 동안구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=be5ebef2d1492e96
[해외취업] 미국간호사 취업,강동엔클렉스 온라인서비스,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=a0c6465bd0bd21ea
(긴급)계약직 간호사 및 연구원(감염병연구센터) 채용 공고,국립중앙의료원,서울 을지로동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=a869c9392c82c7fc
간호사 / 간호조무사,구미천사요양병원,경상북도 구미,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=5281d72c183007d7
[]외래간호팀 간호사 (계약직),세종병원,부천 소사구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=7253dc30ddf01294
"병동,응급실 간호사",여주고려병원,여주 여주시,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=caf3d223b6c6dcf6
예방접종관련 행정업무 기간제 간호사,서울특별시,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=e0880d0ba5afec74
방문건강관리 인력(간호사),양천구보건소,서울 신정동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=d7042dfcacd6f2e1
[나이트킵]병동 간호사 .,새부산병원,부산 동구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=8f42b251f529adc4
[안암병원]호흡기 감염병관리사업 전담 간호사,고려대학교의료원,서울 안암역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=8ad3a25caeefb779
"[긴급/주5일]사무직,보조역할,엑셀 활용 가능자 -메디케어팜",메디케어팜,경기도 부천,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=da7fdd7b5f909ecc
[대구 동구] 성실한 간호사 (간호1등급),항시원외과,대구 동구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=96be5064f4d95d06
